action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,label,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Running Jump Shot,Jump Shot,464,20100023,34.0143,-33,30,-118.3028,4,4,0,2001-02,36,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1554
Jump Shot,Jump Shot,491,20100023,33.8733,73,171,-118.1968,2,4,0,2001-02,10,18,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1555
Jump Shot,Jump Shot,505,20100023,34.0653,-141,-21,-118.4108,1,4,0,2001-02,34,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-01,LAL @ UTA,UTA,1556
Layup Shot,Layup,17,20100033,34.0443,0,0,-118.2698,10,1,0,2001-02,8,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1557
Driving Dunk Shot,Dunk,44,20100033,34.0443,0,0,-118.2698,7,1,0,2001-02,8,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1558
Jump Shot,Jump Shot,116,20100033,33.9033,-92,141,-118.3618,0,1,0,2001-02,31,16,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1559
Driving Layup Shot,Layup,137,20100033,34.0443,0,0,-118.2698,10,2,0,2001-02,4,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1560
Running Jump Shot,Jump Shot,256,20100033,33.9933,1,51,-118.2688,10,3,0,2001-02,28,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1561
Jump Shot,Jump Shot,259,20100033,33.9263,138,118,-118.1318,10,3,0,2001-02,7,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1562
Fadeaway Jump Shot,Jump Shot,282,20100033,34.0103,58,34,-118.2118,7,3,0,2001-02,10,6,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1563
Jump Shot,Jump Shot,319,20100033,33.8863,94,158,-118.1758,3,3,0,2001-02,45,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1564
Driving Layup Shot,Layup,376,20100033,34.0443,0,0,-118.2698,10,4,0,2001-02,20,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1565
Driving Layup Shot,Layup,395,20100033,34.0443,0,0,-118.2698,8,4,0,2001-02,59,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1566
Running Jump Shot,Jump Shot,414,20100033,33.9723,73,72,-118.1968,7,4,0,2001-02,9,10,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1567
Jump Shot,Jump Shot,420,20100033,34.0293,-98,15,-118.3678,6,4,0,2001-02,40,9,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1568
Tip Shot,Tip Shot,423,20100033,34.0443,0,0,-118.2698,6,4,0,2001-02,33,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1569
Driving Layup Shot,Layup,431,20100033,34.0443,0,0,-118.2698,6,4,0,2001-02,13,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-02,LAL vs. PHX,PHX,1570
Driving Layup Shot,Layup,30,20100051,34.0443,0,0,-118.2698,7,1,0,2001-02,29,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1571
Jump Shot,Jump Shot,39,20100051,33.9363,115,108,-118.1548,6,1,0,2001-02,46,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1572
Turnaround Jump Shot,Jump Shot,95,20100051,33.9153,79,129,-118.1908,1,1,0,2001-02,58,15,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1573
Jump Shot,Jump Shot,107,20100051,33.8633,-141,181,-118.4108,0,1,0,2001-02,17,22,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1574
Jump Shot,Jump Shot,140,20100051,33.9323,101,112,-118.1688,11,2,0,2001-02,2,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1575
Turnaround Jump Shot,Jump Shot,147,20100051,34.0333,144,11,-118.1258,8,2,0,2001-02,26,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1576
Jump Shot,Jump Shot,178,20100051,33.9533,-105,91,-118.3748,6,2,0,2001-02,11,13,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1577
Jump Shot,Jump Shot,189,20100051,33.8523,-113,192,-118.3828,4,2,0,2001-02,55,22,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1578
Alley Oop Dunk Shot,Dunk,195,20100051,34.0443,0,0,-118.2698,3,2,0,2001-02,46,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1579
Jump Shot,Jump Shot,280,20100051,33.8463,1,198,-118.2688,10,3,0,2001-02,24,19,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1580
Driving Layup Shot,Layup,292,20100051,34.0443,0,0,-118.2698,8,3,0,2001-02,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1581
Driving Layup Shot,Layup,313,20100051,34.0443,0,0,-118.2698,6,3,0,2001-02,41,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1582
Fadeaway Jump Shot,Jump Shot,357,20100051,33.8863,64,158,-118.2058,3,3,0,2001-02,1,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1583
Jump Shot,Jump Shot,413,20100051,33.9113,113,133,-118.1568,10,4,0,2001-02,38,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1584
Jump Shot,Jump Shot,422,20100051,34.0183,172,26,-118.0978,9,4,0,2001-02,11,17,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1585
Jump Shot,Jump Shot,443,20100051,33.8883,-130,156,-118.3998,7,4,0,2001-02,25,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1586
Turnaround Jump Shot,Jump Shot,452,20100051,33.9113,-115,133,-118.3848,6,4,0,2001-02,58,17,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1587
Jump Shot,Jump Shot,454,20100051,33.8943,150,150,-118.1198,6,4,0,2001-02,20,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1588
Jump Shot,Jump Shot,461,20100051,34.0253,193,19,-118.0768,5,4,0,2001-02,8,19,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1589
Layup Shot,Layup,513,20100051,34.0253,-20,19,-118.2898,1,4,0,2001-02,35,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1590
Jump Shot,Jump Shot,520,20100051,33.8713,-65,173,-118.3348,0,4,0,2001-02,29,18,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-04,LAL vs. UTA,UTA,1591
Jump Shot,Jump Shot,6,20100083,33.8463,3,198,-118.2668,11,1,0,2001-02,26,19,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1592
Layup Shot,Layup,68,20100083,34.0443,0,0,-118.2698,5,1,0,2001-02,38,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1593
Jump Shot,Jump Shot,70,20100083,34.0233,-86,21,-118.3558,5,1,0,2001-02,32,8,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1594
Jump Shot,Jump Shot,73,20100083,33.8753,-115,169,-118.3848,5,1,0,2001-02,10,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1595
Jump Shot,Jump Shot,103,20100083,33.9763,-151,68,-118.4208,3,1,0,2001-02,15,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1596
Jump Shot,Jump Shot,168,20100083,33.8863,125,158,-118.1448,9,2,0,2001-02,32,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1597
Jump Shot,Jump Shot,215,20100083,33.9593,-16,85,-118.2858,5,2,0,2001-02,44,8,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1598
Slam Dunk Shot,Dunk,268,20100083,34.0443,0,0,-118.2698,0,2,0,2001-02,50,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1599
Jump Shot,Jump Shot,275,20100083,33.8523,176,192,-118.0938,0,2,0,2001-02,25,26,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1600
Jump Shot,Jump Shot,297,20100083,34.0403,-157,4,-118.4268,9,3,0,2001-02,53,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1601
Driving Layup Shot,Layup,310,20100083,34.0443,0,0,-118.2698,8,3,0,2001-02,3,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1602
Slam Dunk Shot,Dunk,343,20100083,34.0443,0,0,-118.2698,4,3,0,2001-02,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1603
Jump Shot,Jump Shot,384,20100083,33.8793,98,165,-118.1718,1,3,0,2001-02,18,19,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1604
Jump Shot,Jump Shot,393,20100083,34.0103,-172,34,-118.4418,0,3,0,2001-02,33,17,,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1605
Jump Shot,Jump Shot,400,20100083,33.4563,-145,588,-118.4148,0,3,0,2001-02,0,60,0.0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,1610612747,Los Angeles Lakers,2001-11-09,LAL vs. MEM,MEM,1606
Driving Layup Shot,Layup,29,20100097,34.0043,1,40,-118.2688,9,1,0,2001-02,0,4,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1607
Jump Shot,Jump Shot,153,20100097,33.8483,70,196,-118.1998,9,2,0,2001-02,46,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1608
Jump Shot,Jump Shot,171,20100097,34.0183,56,26,-118.2138,8,2,0,2001-02,7,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1609
Jump Shot,Jump Shot,253,20100097,33.9623,-143,82,-118.4128,11,3,0,2001-02,36,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1610
Jump Shot,Jump Shot,282,20100097,33.8883,91,156,-118.1788,8,3,0,2001-02,42,18,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1611
Turnaround Jump Shot,Jump Shot,295,20100097,33.8653,-14,179,-118.2838,7,3,0,2001-02,18,17,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1612
Jump Shot,Jump Shot,398,20100097,33.9173,-136,127,-118.4058,0,3,0,2001-02,32,18,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1613
Jump Shot,Jump Shot,425,20100097,33.8653,-14,179,-118.2838,10,4,0,2001-02,54,17,,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1614
Alley Oop Dunk Shot,Dunk,434,20100097,34.0443,28,0,-118.2418,10,4,0,2001-02,24,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1615
Jump Shot,Jump Shot,456,20100097,33.9113,-115,133,-118.3848,8,4,0,2001-02,36,17,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1616
Jump Shot,Jump Shot,506,20100097,33.8713,77,173,-118.1928,4,4,0,2001-02,56,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1617
Layup Shot,Layup,513,20100097,34.0443,0,0,-118.2698,4,4,0,2001-02,27,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1618
Jump Shot,Jump Shot,529,20100097,34.0063,5,38,-118.2648,3,4,0,2001-02,38,3,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-11,LAL vs. ORL,ORL,1619
Jump Shot,Jump Shot,10,20100119,34.0443,180,0,-118.0898,10,1,0,2001-02,28,18,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1620
Fadeaway Jump Shot,Jump Shot,36,20100119,33.9893,167,55,-118.1028,6,1,0,2001-02,21,17,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1621
Follow Up Dunk Shot,Dunk,53,20100119,34.0443,0,0,-118.2698,3,1,0,2001-02,36,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1622
Jump Shot,Jump Shot,63,20100119,33.9243,108,120,-118.1618,2,1,0,2001-02,23,16,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1623
Jump Shot,Jump Shot,78,20100119,34.0023,-71,42,-118.3408,0,1,0,2001-02,28,8,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1624
Jump Shot,Jump Shot,126,20100119,34.0023,11,42,-118.2588,7,2,0,2001-02,0,4,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1625
Jump Shot,Jump Shot,132,20100119,34.0253,-134,19,-118.4038,5,2,0,2001-02,42,13,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1626
Jump Shot,Jump Shot,157,20100119,33.9453,144,99,-118.1258,2,2,0,2001-02,55,17,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1627
Turnaround Jump Shot,Jump Shot,189,20100119,33.9283,75,116,-118.1948,0,2,0,2001-02,3,13,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1628
Turnaround Jump Shot,Jump Shot,197,20100119,33.9073,39,137,-118.2308,11,3,0,2001-02,28,14,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1629
Jump Shot,Jump Shot,199,20100119,33.8943,138,150,-118.1318,10,3,0,2001-02,48,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1630
Jump Shot,Jump Shot,212,20100119,33.9173,167,127,-118.1028,8,3,0,2001-02,56,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1631
Jump Shot,Jump Shot,225,20100119,33.7933,11,251,-118.2588,6,3,0,2001-02,28,25,,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1632
Jump Shot,Jump Shot,238,20100119,33.9383,-170,106,-118.4398,5,3,0,2001-02,34,20,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1633
Jump Shot,Jump Shot,246,20100119,33.9453,-8,99,-118.2778,5,3,0,2001-02,1,9,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1634
Jump Shot,Jump Shot,270,20100119,34.0503,144,-6,-118.1258,1,3,0,2001-02,48,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1635
Jump Shot,Jump Shot,279,20100119,34.0353,186,9,-118.0838,0,3,0,2001-02,52,18,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1636
Turnaround Jump Shot,Jump Shot,294,20100119,34.0443,180,0,-118.0898,11,4,0,2001-02,21,18,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1637
Jump Shot,Jump Shot,307,20100119,33.8883,-107,156,-118.3768,9,4,0,2001-02,42,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1638
Jump Shot,Jump Shot,313,20100119,33.8563,-8,188,-118.2778,9,4,0,2001-02,5,18,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1639
Jump Shot,Jump Shot,317,20100119,33.9003,201,144,-118.0688,8,4,0,2001-02,44,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1640
Jump Shot,Jump Shot,365,20100119,34.0183,81,26,-118.1888,4,4,0,2001-02,6,8,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1641
Fadeaway Jump Shot,Jump Shot,368,20100119,34.0443,-170,0,-118.4398,3,4,0,2001-02,25,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1642
Jump Shot,Jump Shot,380,20100119,33.9073,-94,137,-118.3638,2,4,0,2001-02,15,16,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1643
Driving Layup Shot,Layup,434,20100119,34.0443,0,0,-118.2698,4,5,0,2001-02,9,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1644
Layup Shot,Layup,459,20100119,34.0443,0,0,-118.2698,2,5,0,2001-02,0,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1645
Jump Shot,Jump Shot,474,20100119,34.0253,68,19,-118.2018,0,5,0,2001-02,24,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2001-11-15,LAL @ HOU,HOU,1646
Jump Shot,Jump Shot,64,20100127,33.9593,-50,85,-118.3198,3,1,0,2001-02,23,9,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1647
Jump Shot,Jump Shot,94,20100127,34.0253,-178,19,-118.4478,0,1,0,2001-02,33,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1648
Jump Shot,Jump Shot,106,20100127,33.9873,-115,57,-118.3848,11,2,0,2001-02,20,12,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1649
Fadeaway Jump Shot,Jump Shot,123,20100127,34.0373,119,7,-118.1508,9,2,0,2001-02,48,11,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1650
Jump Shot,Jump Shot,169,20100127,33.8813,119,163,-118.1508,5,2,0,2001-02,20,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1651
Jump Shot,Jump Shot,249,20100127,33.8963,-44,148,-118.3138,8,3,0,2001-02,39,15,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1652
Jump Shot,Jump Shot,251,20100127,33.8813,-65,163,-118.3348,8,3,0,2001-02,10,17,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1653
Jump Shot,Jump Shot,283,20100127,33.8413,-157,203,-118.4268,5,3,0,2001-02,0,25,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1654
Jump Shot,Jump Shot,302,20100127,33.9193,-101,125,-118.3708,3,3,0,2001-02,6,16,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1655
Jump Shot,Jump Shot,314,20100127,33.9433,-151,101,-118.4208,1,3,0,2001-02,42,18,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1656
Jump Shot,Jump Shot,320,20100127,33.8463,-145,198,-118.4148,0,3,0,2001-02,44,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1657
Jump Shot,Jump Shot,337,20100127,34.0103,-124,34,-118.3938,11,4,0,2001-02,15,12,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1658
Jump Shot,Jump Shot,409,20100127,33.8963,3,148,-118.2668,4,4,0,2001-02,50,14,,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1659
Turnaround Jump Shot,Jump Shot,425,20100127,33.9533,-37,91,-118.3068,3,4,0,2001-02,47,9,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1660
Jump Shot,Jump Shot,451,20100127,33.8863,-193,158,-118.4628,1,4,0,2001-02,36,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2001-11-16,LAL @ PHX,PHX,1661
Turnaround Jump Shot,Jump Shot,8,20100143,33.9433,100,101,-118.1698,10,1,0,2001-02,49,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2001-11-18,LAL vs. SAC,SAC,1662
